ts,side,entry,gap_pct,outcome,pnl_pts,pnl_dollars_gross,pnl_dollars_net,long_prob,short_prob,period
2024-02-19,LONG,5025.75,-0.01033820705951849,1,15.077249999999367,753.8624999999683,738.8624999999683,0.0,0.0,biden
2024-02-20,SHORT,5060.5,0.007164892029057679,1,15.181499999999687,759.0749999999844,744.0749999999844,0.0,0.0,biden
2024-02-21,LONG,4978.0,-0.013280475718533191,1,14.933999999999287,746.6999999999643,731.6999999999643,0.0,0.0,biden
2024-02-22,SHORT,5062.25,0.013311314617424852,-1,-20.248999999999796,-1012.4499999999898,-1027.4499999999898,0.0,0.0,biden
2024-02-23,LONG,5114.25,-0.008433910135233424,1,15.342749999999796,767.1374999999898,752.1374999999898,0.0,0.0,biden
2024-02-26,LONG,5103.75,-0.012193351720133583,1,15.311249999999745,765.5624999999873,750.5624999999873,0.0,0.0,biden
2024-02-27,LONG,5086.5,-0.01064916119620718,1,15.259499999999207,762.9749999999603,747.9749999999603,0.0,0.0,biden
2024-02-28,SHORT,5132.75,0.00859697386519942,1,15.39825000000019,769.9125000000095,754.9125000000095,0.0,0.0,biden
2024-03-11,LONG,5177.5,-0.013527674573687754,-1,-20.710000000000036,-1035.5000000000018,-1050.5000000000018,0.0,0.0,biden
2024-03-12,SHORT,5262.0,0.02718266556048987,1,15.786000000000058,789.3000000000029,774.3000000000029,0.0,0.0,biden
2024-03-14,LONG,5175.75,-0.011081920229281117,1,15.527249999999185,776.3624999999593,761.3624999999593,0.0,0.0,biden
2024-03-18,SHORT,5225.5,0.008929864362600792,-1,-20.902000000000044,-1045.1000000000022,-1060.1000000000022,0.0,0.0,biden
2024-03-19,SHORT,5263.0,0.009155841043094748,1,15.78899999999976,789.449999999988,774.449999999988,0.0,0.0,biden
2024-03-20,LONG,5241.0,-0.010945461407812829,1,15.722999999999047,786.1499999999523,771.1499999999523,0.0,0.0,biden
2024-03-28,LONG,5309.5,-0.01071362027203282,1,15.928499999999076,796.4249999999538,781.4249999999538,0.0,0.0,biden
2024-04-01,SHORT,5368.5,0.010160880609652923,1,16.105499999999665,805.2749999999833,790.2749999999833,0.0,0.0,biden
2024-04-08,LONG,5258.5,-0.02007919869555086,1,15.775499999999738,788.7749999999869,773.7749999999869,0.0,0.0,biden
2024-04-09,LONG,5271.75,-0.007343595537353531,1,15.81524999999965,790.7624999999825,775.7624999999825,0.0,0.0,biden
2024-04-17,LONG,5117.5,-0.005924630924630914,1,15.352499999999054,767.6249999999527,752.6249999999527,0.0,0.0,biden
2024-04-18,SHORT,5128.5,0.013387343773156202,1,15.38550000000032,769.275000000016,754.275000000016,0.0,0.0,biden
2024-04-25,LONG,5039.5,-0.024628635022015732,1,15.118499999999585,755.9249999999793,740.9249999999793,0.0,0.0,biden
2024-04-26,SHORT,5111.0,0.005558014854163629,-1,-20.444000000000415,-1022.2000000000207,-1037.2000000000207,0.0,0.0,biden
2024-04-30,SHORT,5187.0,0.008016324150998289,1,15.560999999999694,778.0499999999847,763.0499999999847,0.0,0.0,biden
2024-05-03,SHORT,5212.0,0.012235385511749852,-1,-20.847999999999956,-1042.3999999999978,-1057.3999999999978,0.0,0.0,biden
2024-05-07,LONG,5216.25,-0.0092592592592593,1,15.648749999999382,782.4374999999691,767.4374999999691,0.0,0.0,biden
2024-05-14,LONG,5246.75,-0.011166603844704137,1,15.740249999999833,787.0124999999916,772.0124999999916,0.0,0.0,biden
2024-05-22,LONG,5338.0,-0.012761235435546525,1,16.013999999999214,800.6999999999607,785.6999999999607,0.0,0.0,biden
2024-06-06,LONG,5369.25,-0.011142317786270062,1,16.107749999999214,805.3874999999607,790.3874999999607,0.0,0.0,biden
2024-06-14,LONG,5419.0,-0.027022174342400618,1,16.256999999999607,812.8499999999804,797.8499999999804,0.0,0.0,biden
2024-06-21,SHORT,5594.0,0.008791307876110155,1,16.782000000000153,839.1000000000076,824.1000000000076,0.0,0.0,biden
2024-06-25,LONG,5527.25,-0.009275855888152051,1,16.581749999999374,829.0874999999687,814.0874999999687,0.0,0.0,biden
